# Opening balance from April (before cycle start 2026-05-01)
2026-04-25	Opening balance	equity:opening-balances	assets:bank	200000
2026-04-25	April salary	income:給与	assets:bank	300000
2026-04-26	April food	assets:bank	expenses:食費	10000
2026-04-28	April food	assets:bank	expenses:食費	15000
2026-05-01	Rent	assets:bank	expenses:家賃	80000
2026-05-03	Food	assets:bank	expenses:食費	5000
2026-05-08	Food	assets:bank	expenses:食費	8000
2026-05-15	Food	assets:bank	expenses:食費	12000
2026-05-22	Food	assets:bank	expenses:食費	7000
2026-05-25	May salary	income:給与	assets:bank	300000
2026-05-26	Food	assets:bank	expenses:食費	10000
