key	label	category	owner	surface_domain	surface_scope	human_output	structured_output
envelopes	Envelope & Backing	household	src/sections/envelope_backing.bqn	envelope	cycle	yes	metadata
balances	Account Balances	accounting	src/sections/account_balances.bqn	account	current	yes	metadata
balance-sheet	Balance Sheet	accounting	src/sections/balance_sheet.bqn	household	current	yes	metadata
profit-and-loss	Profit and Loss	accounting	src/sections/profit_and_loss.bqn	household	cycle	yes	metadata
recent	Recent Journal	operations	src/sections/recent_journal.bqn	actual	recent	yes	metadata
planned	Planned Payments	operations	src/sections/planned_payments.bqn	plan	future	yes	metadata
cycle-accounts	Current-cycle Accounts	accounting	src/sections/cycle_accounts.bqn	account	cycle	yes	metadata
cycle-comparison	Cycle Comparison	accounting	src/sections/cycle_comparison.bqn	household	cycle	yes	metadata
monthly-accounts	Monthly Accounts	accounting	src/sections/monthly_accounts.bqn	account	month	yes	metadata
daily-flow	Daily Flow	accounting	src/sections/daily_flow.bqn	account	day	yes	metadata
daily-target	Daily Target	household	src/sections/daily_target.bqn	household	day	yes	metadata
issues	Issues	operations	src/sections/issues.bqn	issue	current	yes	metadata
